Date,Sensex_Return,Brazil_Returm,Crude_Return,DAX_Return,Dow_Jones_Return,Euro.INR_Return,Euro_Stoxx_Return,FTSE_Return,Gold_Return,VIX_Return,Jpn.INR_Return,NASDAQ_Return,Nifty_Return,S.P_Return,Usd.INR_Return,Movement,China_Return,Singapore_Return,Hong_Kong_Return,Nikkei_Return,Philippines_Return,Australia_Return,Shangai_Return,KOSPI_Return
19/02/2016,0.011434073,-0.003679726,0.003587736,0.009217027,-0.002455355,0.001229681,-0.000886904,-0.00967942,0.001325166,-0.015916638,0.010855043,-0.01026012,0.011718448,-0.004665719,0.003073321,1,-0.003484617,0.005266976,-0.008798916,-0.005433112,0.009362277,0.022510805,-0.009327568,-0.002566251
22/02/2016,0.002534122,0.001585674,-0.036724082,-0.007987413,-0.001306247,0.002522018,-0.008324266,-0.003637003,0.017396172,-0.026530137,0.006112671,0.003763755,0.002641916,-2.61E-05,0.0001459,0,-0.002010689,-0.002567071,0.007059308,-0.012399068,-0.007658189,-0.007852564,0.011804266,0.00370701
23/02/2016,0.003359041,0.040715252,0.062078273,0.019763423,0.013950106,-0.009604109,0.021894429,0.014705314,-0.015398334,0.00502032,-0.003448276,0.014692203,0.003300628,0.014454213,-0.000291758,1,0.021784306,0.009891514,0.006849301,0.023908944,0.000469633,0.00977225,0.012847054,0.009044969
24/02/2016,-0.01591548,-0.016512374,0.012388818,-0.01638048,-0.01136417,-0.000403501,-0.015859382,-0.01249145,0.008215793,0.13403901,0.007579502,-0.014665439,-0.0172782,-0.012454382,0.000437764,1,-0.010728995,-0.009473739,-0.011513851,-0.023366674,0.002454482,-0.004318963,-0.0122466,-0.010441455
25/02/2016,-0.013722663,-0.010262708,0.008785692,-0.026439002,0.003238237,-0.002574181,-0.023252914,-0.015955225,0.024371278,-0.0370215,-0.002452984,0.008666439,-0.012778587,0.004439772,-0.001896149,1,0.006344505,-0.005526152,-0.003466903,0.008348932,0.002454482,-0.021005703,0.011197697,0.005432989
26/02/2016,-0.004891088,-0.004672973,0.028615863,0.017853793,0.012878382,0.005871543,0.02027487,0.024821124,-0.009487195,-0.009148334,-0.002295082,0.008715254,-0.006853121,0.011348326,0.004968581,0,-0.046163493,-0.005056856,-0.00184955,0.020524329,-0.011891533,0.001271795,-0.055498522,0.004179086
29/02/2016,0.007760272,-0.007038309,-0.008769277,0.019484583,-0.003432892,-0.008554732,0.017981386,0.013837124,-0.007686231,-0.038689822,-0.009365757,0.00180481,0.00848564,-0.001870164,-0.000436237,1,0.010305571,0.015015438,0.009709097,0.000109738,0.00678165,-0.000245841,-0.001902133,-0.002771003
01/03/2016,-0.006577612,0.028869706,0.029591214,-0.001881576,-0.007420085,-0.013238865,0.00566374,0.000177165,0.0024534,-0.078092842,0.00398076,-0.007084242,-0.006074185,-0.008120941,-0.007710212,0,-0.007289274,0.000240054,-0.005482757,-0.018408894,-0.015685291,0.000184426,-0.024114186,-0.002771003
02/03/2016,0.033794887,0.031030853,0.019259259,0.023354466,0.021104956,-0.007213888,0.017190868,0.009150267,-0.006021444,-0.07366985,-0.018338014,0.028883599,0.033669431,0.023868794,-0.006743879,0,0.013195339,0.019334686,0.02742369,0.023635796,0.016591837,0.008482042,0.016883774,0.011713221
03/03/2016,0.019497169,0.017489998,0.00755814,0.006119072,0.002030231,-0.005188279,0.008593674,-0.000945899,-0.002684869,0.017003615,-0.000336587,0.002946946,0.02029132,0.004094321,-0.005166052,0,0.030896834,0.00630916,0.014849276,0.018564523,0.015461341,0.020092233,0.041539705,0.00697434
04/03/2016,0.015015068,0.051230379,-0.002596653,-0.002526436,0.002637976,0.004232342,-0.003067363,-0.002700478,0.005260035,-0.05002633,-0.006060606,0.000850445,0.014486657,0.003498704,-0.004154303,0,0.00264799,0.021035161,-0.001489393,0.013870571,0.012723851,0.011929419,0.00042496,-0.000929601
08/03/2016,0.001604829,0.040079342,0.0390512,0.007408797,0.00371048,0.001393506,0.008125143,0.011250379,0.018989529,-0.008730599,-0.003218157,0.002039334,0.001304243,0.00330591,-0.002681764,1,-0.005558135,-0.007620461,-0.008568365,-0.007939081,-0.007475681,0.010373281,0.003128204,-0.001182913
09/03/2016,0.000517315,-0.002923277,-0.036939314,-0.008805667,-0.006433778,0.00427614,-0.006315601,-0.009213251,0.002563455,0.032573745,0.012533875,-0.012622524,-6.68E-06,-0.011240109,0.004776832,0,0.002600619,-0.013589701,-0.011591439,-0.015624519,0.002476349,-0.006766742,-0.01942901,-0.00938773
10/03/2016,0.005463674,-0.008900834,0.049041096,0.00312293,0.002137455,-0.0030703,0.004720171,0.003408735,-0.018814245,-0.051990252,-0.009869522,0.005498169,0.006212176,0.005052393,-0.002674194,1,-0.002018757,0.015986263,0.007873865,0.011152085,0.003439234,0.00963195,0.002873836,0.009440623
11/03/2016,-0.006881515,0.018617452,-0.011752416,-0.023134621,-0.000307641,0.018634213,-0.015052152,-0.017835062,0.013557279,0.022279349,0.005068424,-0.00261425,-0.006060968,0.000155837,0.0025324,0,-0.019231363,-0.007142504,-0.007716119,-0.01194575,0.009217208,-0.001376716,-0.023167121,0.004814
14/03/2016,0.003843914,0.001363092,0.01744186,0.035057353,0.012837795,-0.008272865,0.034677761,0.017077211,-0.000339198,-0.044565521,-0.011766683,0.018512878,0.003212599,0.016395503,-0.00564636,0,0.003175758,0.014768834,0.023663525,0.032831673,0.022711888,0.003164987,0.017428818,0.008860438
15/03/2016,0.00349098,-0.015539293,-0.034285714,0.016186339,0.000919056,-0.000804036,0.005914503,0.005664689,-0.017432202,0.00029244,0.003401939,0.000381175,0.003801497,-0.001261009,0.003287507,1,0.004494131,0.000880884,-0.003605021,0.003752145,-0.002854314,0.003696965,0.008444991,-0.005101373
16/03/2016,-0.010204287,-0.035551564,-0.022592792,-0.0056465,0.001300124,0.003748483,-0.008011048,-0.005603629,-0.004513309,0.028943137,0.009154094,-0.004549206,-0.01036644,-0.001836961,0.003425678,0,0.007547963,-0.002394878,0.002056838,-0.013852005,0.000855664,-0.014289847,0.001657335,-0.002039876
17/03/2016,0.005348421,0.013439629,0.05833792,0.004989002,0.004302807,0.007462288,-0.001682311,0.005785045,-0.005097481,-0.027418667,0.002183773,0.007465101,0.00511353,0.005600393,-0.00296868,1,0.015458872,0.009504093,0.011807334,0.007434034,-0.004540519,0.001486872,0.005841796,0.006649489
18/03/2016,-0.000207029,0.065957575,0.04524181,-0.009136157,0.00898835,6.63E-05,-0.006188664,0.004150278,0.022575552,-0.016067777,0.002514247,0.002311098,0.001840307,0.006595239,-0.008188179,1,-0.00091967,0.005786646,0.000929541,-0.013084828,0.016223639,0.009611252,0.013949315,0.005854819
